Jurisdiction,Prob,Topic,Accuracy
          Alaska  ,0.9498177203712224, 4 , 0.893333
         Arizona  ,0.8981007745857864, 4 , 0.669891
        Arkansas  ,0.8708578611379163, 4 , 0.736199
      California  ,0.9021050785826064, 4 , 0.761605
        Colorado  ,0.8327125042733927, 4 , 0.461163
     Connecticut  ,0.9925959671528014, 4 , 0.932994
        Delaware  ,0.8256889596744141, 4 , 0.675146
         Florida  ,0.9846095495572365, 4 , 0.895367
         Georgia  ,0.8610997012914672, 4 , 0.800516
          Hawaii  ,0.950380819508454, 4 , 0.821204
           Idaho  ,0.945018778042491, 4 , 0.832116
        Illinois  ,0.9648807624213148, 4 , 0.840973
         Indiana  ,0.9683165469537385, 4 , 0.915558
            Iowa  ,0.9447400057366936, 4 , 0.832689
          Kansas  ,0.9550827382589108, 4 , 0.066667
        Kentucky  ,0.8268429508143746, 4 , 0.516142
       Louisiana  ,0.81721775228375, 4 , 0.675926
           Maine  ,0.914130126996438, 4 , 0.586331
        Maryland  ,0.8961464256737037, 4 , 0.717126
   Massachusetts  ,0.9968854039438696, 4 , 0.844468
        Michigan  ,0.9202325298627533, 4 , 0.734336
       Minnesota  ,0.99432181155721, 4 , 0.887326
     Mississippi  ,0.9673980199260305, 4 , 0.814621
        Missouri  ,0.9851057299620763, 4 , 0.678744
         Montana  ,0.7889436463026357, 4 , 0.766728
        Nebraska  ,0.9999940562375366, 4 , 0.847200
          Nevada  ,0.8470416388486361, 4 , 0.579449
   New Hampshire  ,0.7156522466077644, 4 , 0.567340
      New Jersey  ,0.9750782282849463, 4 , 0.891634
      New Mexico  ,0.9865053440455317, 4 , 0.766939
        New York  ,0.9803445415820597, 4 , 0.899805
  North Carolina  ,0.9463072856843991, 4 , 0.791691
    North Dakota  ,0.8255900183723908, 4 , 0.644703
            Ohio  ,0.9636357858553559, 4 , 0.798030
        Oklahoma  ,0.8939608501204653, 4 , 0.823300
          Oregon  ,0.9582891187055466, 4 , 0.880503
    Pennsylvania  ,0.9099359659480689, 4 , 0.635123
    Rhode Island  ,0.9414894312998148, 4 , 0.676705
  South Carolina  ,0.9454237999681789, 4 , 0.799390
    South Dakota  ,0.8707245461782795, 4 , 0.515942
       Tennessee  ,0.8888228837772061, 4 , 0.775541
